iter	Passed	Remaining
399	38519	250379
400	38619	250303
401	38716	250211
402	38811	250108
403	38914	250051
404	39009	249950
405	39103	249836
406	39204	249774
407	39295	249642
408	39390	249536
409	39482	249411
410	39575	249296
411	39664	249155
412	39757	249039
413	39853	248941
414	39950	248849
415	40048	248759
416	40143	248656
417	40232	248519
418	40329	248425
419	40416	248275
420	40500	248102
421	40595	248000
422	40690	247897
423	40786	247794
424	40882	247701
425	40975	247587
426	41074	247502
427	41160	247347
428	41256	247252
429	41352	247153
430	41446	247047
431	41540	246937
432	41637	246846
433	41729	246720
434	41828	246642
435	41914	246488
436	42006	246367
437	42104	246281
438	42200	246187
439	42285	246026
440	42384	245945
441	42476	245827
442	42577	245756
443	42669	245637
444	42765	245540
445	42856	245416
446	42954	245329
447	43057	245271
448	43149	245156
449	43247	245069
450	43339	244952
451	43440	244880
452	43532	244761
453	43626	244653
454	43715	244519
455	43806	244394
456	43898	244276
457	43987	244140
458	44083	244041
459	44172	243909
460	44275	243851
461	44365	243723
462	44460	243618
463	44555	243518
464	44651	243420
465	44748	243332
466	44846	243245
467	44940	243138
468	45031	243018
469	45127	242922
470	45214	242777
471	45336	242817
472	45430	242709
473	45527	242619
474	45622	242520
475	45715	242406
476	45805	242278
477	45898	242166
478	45999	242095
479	46090	241973
480	46170	241795
481	46265	241694
482	46364	241613
483	46459	241513
484	46548	241380
485	46646	241292
486	46738	241179
487	46831	241064
488	46932	240996
489	47027	240894
490	47132	240844
491	47222	240717
492	47316	240613
493	47424	240576
494	47519	240478
495	47630	240458
496	47730	240379
497	47825	240279
498	47916	240157
499	48014	240070
500	48112	239985
501	48207	239883
502	48296	239755
503	48405	239723
504	48498	239613
505	48593	239512
506	48694	239438
507	48787	239329
508	48884	239237
509	48971	239095
510	49066	238996
511	49160	238889
512	49257	238799
513	49355	238712
514	49446	238592
515	49526	238420
516	49615	238290
517	49707	238174
518	49794	238034
519	49883	237908
520	49976	237797
521	50069	237688
522	50163	237579
523	50255	237465
524	50341	237323
525	50431	237202
526	50531	237125
527	50629	237038
528	50723	236934
529	50819	236837
530	50921	236771
531	51019	236686
532	51108	236557
533	51199	236436
534	51286	236302
535	51378	236188
536	51463	236043
537	51560	235951
538	51666	235902
539	51773	235855
540	51868	235758
541	51958	235632
542	52072	235622
543	52164	235505
544	52253	235379
545	52352	235297
546	52443	235179
547	52533	235056
548	52628	234958
549	52724	234863
550	52814	234743
551	52909	234641
552	53025	234633
553	53149	234664
554	53257	234622
555	53342	234478
556	53443	234403
557	53534	234284
558	53638	234224
559	53733	234123
560	53823	234002
561	53918	233901
562	54014	233808
563	54112	233717
564	54207	233621
565	54301	233515
566	54398	233424
567	54489	233309
568	54589	233227
569	54691	233158
570	54787	233061
571	54878	232947
572	54982	232885
573	55079	232794
574	55165	232652
575	55260	232555
576	55357	232461
577	55455	232377
578	55553	232289
579	55648	232188
580	55741	232081
581	55832	231965
582	55926	231860
583	56024	231772
584	56120	231676
585	56210	231557
586	56295	231417
587	56384	231289
588	56478	231187
589	56571	231080
590	56664	230973
591	56765	230897
592	56873	230850
593	56961	230721
594	57054	230615
595	57146	230503
596	57246	230425
597	57337	230309
598	57431	230206
599	57527	230110
600	57622	230008
601	57715	229904
602	57812	229813
603	57923	229774
604	58013	229655
605	58102	229535
606	58190	229407
607	58289	229321
608	58382	229216
609	58479	229125
610	58583	229059
611	58676	228955
612	58783	228900
613	58869	228766
614	58969	228686
615	59059	228567
616	59151	228456
617	59240	228336
618	59332	228225
619	59434	228149
620	59530	228055
621	59635	227996
622	59727	227886
623	59823	227790
624	59919	227694
625	60010	227580
626	60104	227478
627	60193	227355
628	60290	227263
629	60387	227171
630	60483	227075
631	60575	226964
632	60675	226885
633	60777	226813
634	60869	226701
635	60968	226617
636	61064	226524
637	61173	226476
638	61264	226362
639	61362	226273
640	61459	226184
641	61551	226071
642	61653	225998
643	61748	225900
644	61845	225809
645	61937	225699
646	62031	225595
647	62127	225498
648	62221	225397
649	62315	225295
650	62416	225216
651	62512	225121
652	62603	225009
653	62706	224936
654	62801	224837
655	62897	224742
656	62994	224653
657	63088	224548
658	63185	224458
659	63286	224379
660	63386	224297
661	63477	224185
662	63570	224078
663	63667	223986
664	63769	223913
665	63857	223789
666	63951	223685
667	64044	223582
668	64144	223498
669	64240	223401
670	64344	223336
671	64439	223236
672	64532	223129
673	64631	223045
674	64727	222950
675	64816	222829
676	64916	222750
677	65016	222667
678	65110	222564
679	65208	222476
680	65295	222348
681	65394	222266
682	65485	222153
683	65586	222074
684	65675	221954
685	65764	221833
686	65854	221718
687	65949	221621
688	66044	221521
689	66140	221425
690	66237	221335
691	66327	221220
692	66427	221135
693	66526	221051
694	66631	220984
695	66725	220884
696	66814	220764
697	66907	220660
698	67004	220569
699	67094	220453
700	67186	220343
701	67283	220251
702	67372	220135
703	67474	220058
704	67570	219962
705	67667	219872
706	67764	219780
707	67863	219694
708	67952	219577
709	68043	219463
710	68138	219366
711	68235	219273
712	68324	219154
713	68416	219047
714	68497	218903
715	68591	218803
716	68691	218720
717	68785	218620
718	68883	218528
719	68978	218430
720	69078	218348
721	69170	218242
722	69270	218159
723	69363	218054
724	69453	217939
725	69551	217852
726	69651	217769
727	69752	217689
728	69855	217617
729	69954	217529
730	70056	217452
731	70149	217348
732	70242	217243
733	70335	217140
734	70429	217037
735	70526	216944
736	70619	216840
737	70718	216754
738	70809	216644
739	70906	216550
740	70986	216409
741	71087	216327
742	71187	216244
743	71285	216156
744	71380	216056
745	71474	215957
746	71565	215845
747	71663	215756
748	71759	215661
749	71846	215539
750	71938	215433
751	72034	215336
752	72126	215230
753	72216	215117
754	72308	215011
755	72409	214929
756	72512	214854
757	72612	214773
758	72712	214687
759	72809	214596
760	72898	214481
761	72991	214375
762	73088	214285
763	73182	214182
764	73279	214092
765	73372	213986
766	73467	213889
767	73553	213765
768	73652	213679
769	73741	213562
770	73840	213477
771	73939	213389
772	74036	213296
773	74125	213182
774	74210	213056
775	74306	212962
776	74403	212868
777	74493	212756
778	74588	212659
779	74687	212571
780	74788	212490
781	74881	212388
782	74981	212304
783	75066	212176
784	75157	212067
785	75248	211958
786	75343	211862
787	75430	211741
788	75517	211620
789	75608	211513
790	75702	211410
791	75802	211327
792	75889	211207
793	75980	211098
794	76083	211023
795	76183	210939
796	76276	210837
797	76370	210737
798	76459	210622
799	76548	210507
800	76656	210446
801	76754	210356
802	76842	210241
803	76947	210170
804	77043	210075
805	77135	209968
806	77259	209950
807	77352	209846
808	77449	209753
809	77542	209652
810	77648	209583
811	77738	209471
812	77834	209377
813	77924	209266
814	78018	209166
815	78107	209053
816	78200	208948
817	78297	208857
818	78394	208764
819	78488	208664
820	78583	208566
821	78683	208483
822	78802	208449
